Group	Trusted th	Noise th	ROC th	Sensitivity	Specificity	AUC	Average	SD	x0	k
ECF21s35	225.7	203.3	225.7	1.0	1.0	1.0	32.65815048162267	20.899949546313227	8.697527037403237	45.80363250022919
ECF218s45	217.8	208.5	217.8	1.0	1.0	1.0	31.60557940226406	17.477508499308346	10.38746536924887	96.61103862167383
ECF218s44	194.0	203.8	194.0	1.0	0.9999927237271979	0.9999988511148208	36.553105811483285	17.68052022317864	8.557034207101472	2.8437755494955166
ECF214s19	276.4	182.9	276.4	1.0	1.0	1.0	30.337947792683988	20.771528708437398	9.59988659611715	11.015402635270037
ECF214s18	239.4	242.1	239.4	1.0	0.999985447454396	0.9999992340765471	25.849380147251406	22.117464178801846	9.856374199686766	7.490529533336722
ECF214s17	205.3	193.2	205.3	1.0	1.0	0.9999999999999999	22.944763990338448	20.55645366221392	8.57393837135957	86.66830707401402
ECF202s1	197.5	178.0	197.5	1.0	1.0	1.0	30.195138666589067	19.264922206592445	8.180969770186953	50.340022854367085
ECF19s30	169.5	203.2	169.5	1.0	0.9909555929070892	0.9986849094314666	46.90216220935309	25.107447857907513	6.26796675518175	10.046215276561426
ECF19s29	153.8	133.3	153.8	1.0	1.0	1.0	42.960301050548544	19.589843687635955	5.135164597760965	49.95457208302172
ECF18s30	221.3	130.7	221.3	1.0	1.0	1.0	32.06983456042837	18.636117533458425	7.734708631777	9.755171178261998
ECF17s24	192.5	176.1	192.5	1.0	1.0	0.9999999999999999	38.071465675290284	20.45013253137077	7.150516508724081	59.636633061440804
ECF16s21	239.0	189.9	239.0	1.0	1.0	0.9999999999999999	17.653921368914236	15.848655011459185	12.416782044000607	15.397018585944787
ECF15s12	206.0	217.8	206.0	1.0	0.9999708949087919	0.9999904259568395	41.60141794953874	26.620175278812546	6.274627779294135	4.044520524394296
ECF03s14	220.4	235.4	220.4	1.0	0.9989667692621131	0.9998217313163505	43.189324273200825	25.272352413536264	7.604526205910416	7.360247054903208
ECF03s13	191.7	190.1	191.7	1.0	1.0	1.0	34.24486293396968	23.01207999644049	6.807523206136249	784.00366772581
ECFs65	251.5	76.8	251.5	1.0	1.0	1.0	22.72224267380612	14.934899254815443	9.556076442702423	3.94838021255728
ECFs52	186.1	120.3	186.1	1.0	1.0	1.0	42.74593458079911	23.122408322985294	4.7991821859979495	17.15439739015629
ECFs29	185.9	194.1	185.9	1.0	0.9999563426808504	0.9999866602635932	43.30679873701365	15.577102694950451	9.222879597898508	2.4163835505154014
ECFs21	272.1	106.9	272.1	1.0	1.0	1.0	31.54701204784216	22.591978615548207	7.004803470586382	6.40131949948628
ECFs20	266.5	155.4	266.5	1.0	1.0	1.0	18.901312458167215	14.105116051748174	13.630829219222216	5.966499080728478
ECF56s14	266.5	268.5	266.5	1.0	0.9999854475602835	0.9999963618900709	39.301300090213296	26.48739194964262	8.5477065774963	20.326308484496543
ECF52s11	198.7	164.3	198.7	1.0	1.0	0.9999999999999999	25.847960742659254	17.169100965235717	9.070198000223566	25.23719641485917
ECF42s39	225.6	157.9	225.6	1.0	1.0	1.0	23.231597212117684	27.84092929910226	6.054649316612765	19.59448416999558
ECF41s49	208.9	239.7	208.9	1.0	0.9996507414468035	0.999960991376871	35.5424111689899	30.085702748897535	6.518301565524116	4.952887884623819
ECF41s48	240.8	143.3	240.8	1.0	1.0	0.9999999999999999	25.765996857084655	30.141903749427918	5.535517844042765	14.662182564823542
ECF39s72	189.3	222.5	189.3	1.0	0.9998617518226931	0.9999611934940892	35.54814844454792	22.640741499455455	7.816389863257544	2.124926501290124
ECF39s71	208.7	205.7	208.7	1.0	1.0	1.0	24.363105665977937	19.341905595398956	9.45285551794896	350.09302066905127
ECF39s70	178.2	150.5	178.2	1.0	1.0	1.0	33.35897767948083	19.27270785907426	6.797529899693785	34.39229637013374
ECF39s69	213.3	159.8	213.3	1.0	1.0	1.0000000000000002	27.601481971888372	19.81057522452035	8.032747971657962	18.30335851542362
ECF39s68	202.5	162.6	202.5	1.0	1.0	1.0	38.83162413060559	21.124911537515054	6.803906828517711	25.068630948993082
ECF39s67	168.1	187.9	168.1	1.0	0.9989158432411194	0.9999201636987775	50.221779966824776	24.77264971443074	5.398611381939242	7.349993390121533
ECF38s12	178.3	202.1	178.3	1.0	0.9997671609645357	0.9999613956113076	45.2066081250182	18.808261434584008	8.099536267623602	4.209315113613252
ECF38s11	171.6	181.5	171.6	1.0	0.9999563426808504	0.9999963618900708	40.64291971015336	18.546011993444008	7.417088332821737	270.1982380794491
ECF30s54	215.9	205.5	215.9	1.0	1.0	1.0	32.71081177429212	23.189585764969248	7.675429232329316	114.0254970693743
ECF293s21	225.0	173.5	225.0	1.0	1.0	1.0	29.653472484940195	15.418894558521247	11.002501788898304	14.869370880659426
ECF291s8	211.2	116.8	211.2	1.0	1.0	1.0	47.434728487035464	18.3630011855993	6.426268568110599	9.254255902464564
ECF289s6	196.8	241.0	196.8	1.0	0.9999781713404252	0.9999927237801418	33.785471291796405	18.33713114953608	9.736093235035879	1.4168802540533731
ECF286s8	209.8	234.6	209.8	1.0	0.9994033499716227	0.9998625602915662	52.522922183744136	22.455875494942507	7.979483902882638	4.9027353021644435
ECF286s7	216.4	163.1	216.4	1.0	1.0	1.0	48.06010607339289	20.07537293309243	7.0590093081796494	17.58202191687139
ECF27s8	171.5	184.9	171.5	1.0	0.9998253707234018	0.9999615977285258	50.50896822163374	22.195591319822043	6.115045143854084	7.0208047484089855
ECF275s7	211.3	191.0	211.3	1.0	1.0	1.0	36.90480385880162	22.961954421545087	7.157082573880271	60.44220287756852
ECF272s8	199.3	188.9	199.3	1.0	1.0	1.0	51.52210953641999	20.899842663773263	6.823306287259326	102.97481792997598
ECF26s40	168.9	185.3	168.9	1.0	0.9975115328084754	0.9995415981489297	59.831614672758484	27.377800368272336	4.5541746398533975	16.514555549297132
ECF26s39	207.9	136.1	207.9	1.0	1.0	1.0	32.199927247329974	22.921803421789342	6.100727141995956	15.085758901959384
ECF268s1	192.2	193.1	192.2	1.0	0.9999927237801417	0.9999995957655634	56.115765503593984	25.92144107796991	5.250741361717748	17.611235541060093
ECF266s2	204.0	211.3	204.0	1.0	0.9999054091418427	0.9999749374649327	33.69600005820214	20.3093753819704	8.639132607818631	5.268528522391151
ECF25s11	259.4	151.0	259.4	1.0	1.0	1.0	41.294762535285045	22.519403436155056	7.282217712157214	10.282109945201821
ECF25s10	196.8	220.1	196.8	1.0	0.9986757279857968	0.9995161313794259	48.54244536274481	23.387115565415577	7.346068264633048	13.11672188375786
ECF251s7	178.7	191.5	178.7	1.0	0.9999563426808504	0.9999880750841212	43.31259494223438	24.942495899680623	5.515153681798425	19.844552312180014
ECF248s7	199.8	192.5	199.8	1.0	1.0	1.0	52.81478115996856	27.10364875703003	5.288274137227083	193.21232889030614
ECF246s5	240.4	112.2	240.4	1.0	1.0	1.0	38.460434187934695	22.150330996767515	6.231173510911074	8.398841130994464
ECF245s3	194.5	239.2	194.5	1.0	0.995590610765895	0.9990512617773704	54.169862933969675	26.186031645812275	7.108979985696755	9.062187226531721
ECF243s163	192.1	236.1	192.1	1.0	0.9993742450921898	0.9998983350392028	29.100221168116867	23.934691612800524	8.580635024834272	2.16286622519635
ECF243s162	203.2	225.6	203.2	1.0	0.9998981329219844	0.999994340717888	20.116642173267756	21.36815702802957	9.851235259963016	46.161962816198695
ECF243s161	188.1	243.7	188.1	1.0	0.9995852554680792	0.999771001191683	35.61498268486453	24.89408538852709	9.392960621299327	1.0270826175253795
ECF243s160	202.7	94.9	202.7	1.0	1.0	1.0	14.38347932369118	13.466243920306441	10.05473858093916	6.060492639374217
ECF243s159	241.6	145.4	241.6	1.0	1.0	0.9999999999999999	17.316330791840063	16.468750454308594	10.752867973661711	8.609364311883489
ECF243s158	215.3	188.3	215.3	1.0	1.0	1.0	18.518579576870472	17.733643553823473	10.33431147645692	31.61269710165619
ECF243s157	228.1	163.6	228.1	1.0	1.0	1.0	25.74091100893403	16.41856031624978	10.383569639159537	12.219704017665665
ECF243s156	203.0	140.1	203.0	1.0	1.0	1.0	37.4427429211652	16.15268185992986	8.31061444968532	12.097275629811882
ECF243s155	224.6	170.0	224.6	1.0	1.0	1.0	25.909476762797194	17.20999542650885	9.959549930924473	16.325683835179778
ECF243s154	221.2	140.6	221.2	1.0	1.0	1.0	25.710215202397926	16.870404513803102	9.239217954136699	9.966330518224238
ECF243s153	218.3	201.3	218.3	1.0	1.0	1.0	20.009329802403748	15.797555343140392	12.013909361812773	46.31497572792428
ECF240s81	193.4	217.2	193.4	1.0	0.9997089512056696	0.9999502791643019	28.13122981113407	17.94671347782777	10.035687141314185	4.639756673105565
ECF240s80	227.2	125.4	227.2	1.0	1.0	1.0	21.318064487966705	13.474862802714979	11.551082007032562	6.865229999464034
ECF23s19	219.7	115.1	219.7	1.0	1.0	0.9999999999999999	18.99189389750604	15.226387183446384	9.769058013690216	7.119841115660658
ECF238s17	197.8	196.0	197.8	1.0	1.0	1.0	41.65676454325874	18.746543423267624	8.281169843728847	542.1174005081556
ECF235s31	214.1	235.1	214.1	1.0	0.9999199615815592	0.999966650658983	22.84667593050665	16.554603061185304	12.382180850751377	1.2777190761959747
ECF235s30	188.4	176.2	188.4	1.0	1.0	1.0	41.6186988912493	17.460729315057307	8.057690170504841	75.92351100235493
ECF227s9	170.6	168.5	170.6	1.0	1.0	1.0	33.73735995111019	14.555522964308334	9.330654268895552	363.18793836803854
ECF222s2	188.3	125.6	188.3	1.0	1.0	1.0	37.645179408084275	16.880440067552257	7.047459808785615	12.919345333062555
ECF21s41	217.5	211.3	217.5	1.0	1.0	1.0	32.17706763088204	20.93889345575376	8.7039232368425	211.13197199120285
ECF21s40	189.9	205.0	189.9	1.0	0.999243273134741	0.9997671609645357	40.1582021360184	23.242695998049516	7.0631221192163665	5.110187932395867
ECF21s39	223.1	187.3	223.1	1.0	1.0	0.9999999999999999	25.25209527689666	20.787623828732784	8.663357652213785	28.405975460691334
ECF21s38	204.3	224.1	204.3	1.0	0.9997089512056696	0.9999500770470836	43.34495678491401	24.226487869773603	7.236609160557544	5.749917826442242
ECF210s3	190.3	183.9	190.3	1.0	1.0	1.0	33.29009545150307	16.112774859178376	9.545792280515053	128.04556758683947
ECF210s2	202.1	169.5	202.1	1.0	1.0	1.0	31.72896429298955	12.967642560136992	11.892338882227312	20.72465269405025
ECF207s13	228.8	184.1	228.8	1.0	1.0	0.9999999999999999	41.23334982393854	19.896146240442494	8.314953983645768	22.42810849071796
ECF205s2	192.3	172.8	192.3	1.0	1.0	1.0	40.741049239007076	19.56985252436919	7.246466348920853	47.5549255522883
ECF19s31	176.4	128.0	176.4	1.0	1.0	1.0	41.79987632046096	17.8318921739196	6.207066974841024	18.361078699241084
ECF18s31	244.7	161.9	244.7	1.0	1.0	1.0	34.457832552454676	20.21711932529856	8.376478601576167	11.594094232663727
